Station,Setup_date,Retrieval_date.Function.Date,Latitude,Longitude
Cell268Camera8,8/3/2017,10/10/2017,0,0
Cell268Camera4,6/2/2016,8/15/2016,0,0
Cell268Camera9,8/3/2017,10/10/2017,0,0
Cell268Camera5,6/3/2016,8/15/2016,0,0
Cell269Camera1,9/2/2016,9/22/2016,0,0
Cell269Camera2,6/20/2016,9/22/2016,0,0
Cell269Camera3,6/20/2016,9/22/2016,0,0
Cell26Camera1,7/14/2016,9/30/2016,0,0
Cell26Camera1K,7/30/2016,10/8/2016,0,0
Cell26Camera2,7/14/2016,9/30/2016,0,0
Cell26Camera2K,7/30/2016,10/8/2016,0,0
Cell26Camera3,7/14/2016,9/30/2016,0,0
Cell26Camera3K,7/31/2016,10/8/2016,0,0
Cell26Camera4K,7/31/2016,10/8/2016,0,0
Cell270Camera1,6/3/2016,8/15/2016,0,0
Cell270Camera2,6/3/2016,8/15/2016,0,0
Cell270Camera3,6/3/2016,8/15/2016,0,0
Cell270Camera4,6/2/2016,8/15/2016,0,0
Cell272Camera1,6/3/2016,8/15/2016,0,0
Cell272Camera2,6/3/2016,8/15/2016,0,0
Cell272Camera3,6/3/2016,8/14/2016,0,0
Cell274Camera1,6/21/2017,9/25/2017,0,0
Cell274Camera2,6/15/2017,9/28/2017,0,0
Cell274Camera3,6/15/2017,9/28/2017,0,0
Cell274Camera4,6/15/2017,9/25/2017,0,0
Cell275Camera1,6/2/2016,8/15/2016,0,0
Cell275Camera3,6/3/2016,8/15/2016,0,0
Cell275Camera4,6/2/2016,8/15/2016,0,0
Cell27Camera2,6/20/2017,10/6/2017,0,0
Cell27Camera3,6/20/2017,10/12/2017,0,0
Cell27Camera4,6/20/2017,10/13/2017,0,0
Cell29Camera1K,7/31/2016,10/8/2016,0,0
Cell29Camera2K,7/31/2016,10/8/2016,0,0
Cell29Camera3K,7/31/2016,10/8/2016,0,0
Cell29Camera4K,7/31/2016,10/8/2016,0,0
Cell2Camera1K,5/25/2016,7/30/2016,0,0
Cell2Camera1K2,6/20/2017,7/22/2017,0,0
Cell2Camera2K,5/25/2016,7/30/2016,0,0
Cell2Camera2K2,6/20/2017,7/22/2017,0,0
Cell2Camera3K,5/26/2016,7/30/2016,0,0
Cell2Camera3K2,7/22/2017,8/17/2017,0,0
Cell2Camera4K,5/26/2016,7/30/2016,0,0
Cell2Camera4K2,7/22/2017,8/17/2017,0,0
Cell30Camera1,7/25/2017,10/1/2017,0,0
Cell30Camera1K,8/8/2017,10/23/2017,0,0
Cell30Camera2,7/25/2017,9/11/2017,0,0
Cell30Camera2K,8/8/2017,10/16/2017,0,0
Cell31Camera1K,8/9/2016,10/8/2016,0,0
Cell31Camera6K,6/11/2017,8/12/2017,0,0
Cell31Camera2K,8/9/2016,10/8/2016,0,0
Cell31Camera7K,6/11/2017,8/13/2017,0,0
Cell31Camera3K,8/9/2016,10/8/2016,0,0
Cell31Camera8K,8/13/2017,10/7/2017,0,0
Cell31Camera4K,8/11/2016,10/8/2016,0,0
Cell31Camera9K,8/13/2017,10/7/2017,0,0
Cell31Camera5K,8/9/2016,10/8/2016,0,0
Cell32Camera1K,6/7/2017,8/8/2017,0,0
Cell32Camera2K,6/7/2017,8/8/2017,0,0
Cell32Camera3K,6/6/2017,8/8/2017,0,0
Cell32Camera4K,6/7/2017,8/8/2017,0,0
Cell33Camera1K,6/6/2017,8/8/2017,0,0
Cell33Camera2K,6/6/2017,8/8/2017,0,0
Cell33Camera3K,6/6/2017,8/8/2017,0,0
Cell33Camera4K,6/6/2017,7/21/2017,0,0
Cell34Camera1K,7/31/2016,10/8/2016,0,0
Cell34Camera2K,7/31/2016,10/8/2016,0,0
